"","Observation","New.Date","Latitude","Longitude","Zonal.Winds","Meridional.Winds","Humidity","Air.Temp","Sea.Surface.Temp","diff","buoy","MonthN","new_elnino_1","new_elnino_2","new_elnino_3","new_elnino_4","new_elnino_5","new_elnino_6","new_elnino_7","new_elnino_8","new_elnino_9","new_elnino_10","new_elnino_11","new_elnino_12"
"1",12401,1990-05-01,0.02,-139.93,-5.9,2.1,87.1,27.21,27.43,-80111,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"2",12402,1990-05-02,0.01,-139.92,-4.4,-1.6,87.9,27.12,27.23,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"3",12403,1990-05-03,0.02,-139.92,-5.8,1.1,86.5,27.56,27.22,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"4",12404,1990-05-04,0.01,-139.92,-4.1,0.8,86.3,27.32,27.24,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"5",12405,1990-05-05,0.01,-139.92,-3.3,-0.2,84.1,27.23,27.36,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"6",12406,1990-05-06,0.01,-139.92,-2.2,0.3,81.9,27.28,27.6,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"7",12407,1990-05-07,0.01,-139.92,-3.9,2.8,83.7,27.39,27.62,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"8",12408,1990-05-08,0.01,-139.92,-4.7,2,84.8,27.46,27.51,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"9",12409,1990-05-09,0.01,-139.93,-5,1.2,85.2,27.35,27.4,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"10",12410,1990-05-10,0.01,-139.92,-5.1,2,85.9,27.16,27.4,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"11",12411,1990-05-11,0.01,-139.92,-5.8,0.8,82.9,27.26,27.34,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"12",12412,1990-05-12,0.01,-139.92,-6.2,0.4,81.6,27.23,27.31,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"13",12413,1990-05-13,0.01,-139.92,-6.4,0.1,85.1,27.03,27.31,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"14",12414,1990-05-14,0.01,-139.92,-6.2,-1.5,82.8,27.22,27.26,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"15",12415,1990-05-15,0.01,-139.92,-6.3,0.3,89.6,26.54,27.24,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"16",12416,1990-05-16,0.01,-139.92,-5.1,1.2,86.5,27.31,27.32,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"17",12417,1990-05-17,0.01,-139.92,-4.7,1.5,86.5,27.29,27.33,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"18",12418,1990-05-18,0.01,-139.93,-5.1,2.2,83.7,27.71,27.31,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"19",12419,1990-05-19,0.01,-139.92,-4.6,2.3,83,27.33,27.32,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"20",12420,1990-05-20,0.01,-139.93,-4.5,1.8,84.6,27.41,27.49,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"21",12421,1990-05-21,0.01,-139.93,-6.7,2.1,84,27.49,27.28,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"22",12422,1990-05-22,0.02,-139.92,-5.8,1,83.1,27.24,27.21,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"23",12423,1990-05-23,0.01,-139.92,-4.4,0.9,82,27.08,27.26,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"24",12424,1990-05-24,0.01,-139.92,-2,0.2,88.8,26.33,27.56,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"25",12425,1990-05-25,0.01,-139.92,-4.2,1.9,87.2,26.59,27.31,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"26",12426,1990-05-26,0.01,-139.92,-5.6,1.5,83,27.07,27.17,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"27",12427,1990-05-27,0.01,-139.93,-7.9,-0.4,81,26.97,27.07,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"28",12428,1990-05-28,0.01,-139.93,-6.5,-1.4,81.4,26.99,26.98,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"29",12429,1990-05-29,0.01,-139.93,-6.4,0,82.6,26.73,26.86,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
"30",12430,1990-05-30,0.01,-139.93,-5.8,1,85.2,26.69,26.75,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0
