Cluster_type,zonal_winds,meridional_winds,Humidity,air_temp,sea_surface_temp,zonal_winds:meridional_winds,zonal_winds:Humidity,zonal_winds:air_temp,zonal_winds:sea_surface_temp,meridional_winds:Humidity,meridional_winds:air_temp,meridional_winds:sea_surface_temp,Humidity:air_temp,Humidity:sea_surface_temp,air_temp:sea_surface_temp,zonal_winds_squared,meridional_winds_squared,Humidity_squared,air_temp_squared,sea_surface_temp_squared,month_8,month_4,month_1,month_11,month_6,month_7,month_5,month_2,month_10,month_12,month_9,month_3
1,-1.088255994,-0.339030324,0.82366131,-0.987142691,-1.10170447,0.662995373,-1.229563392,-0.969273778,-0.943029161,-0.361678179,-0.30480484,-0.29326625,0.019424282,-0.188343424,-1.080392048,60.84,1.96,7310.25,650.7601,658.9489,1,0,0,0,0,0,0,0,0,0,0,0
1,-1.015266681,0.684127615,0.9418419,-1.782025962,-1.484617118,-0.837104944,-1.173685641,-0.790281935,-0.812756133,0.714603251,0.643844383,0.645484823,-0.502400704,-0.40826338,-1.630953358,57.76,1.21,7413.21,598.2916,628.5049,1,0,0,0,0,0,0,0,0,0,0,0
0,0.882455473,-0.461809277,-0.811170195,0.928147478,0.934114443,0.130802107,0.916516547,0.832438791,0.816906502,-0.419605924,-0.485899584,-0.48723884,-0.094649151,0.013070938,0.961492846,5.76,2.89,5959.84,786.2416,832.8996,0,1,0,0,0,0,0,0,0,0,0,0
1,-1.526191876,-0.871072452,-1.362679619,-1.872869764,-1.663309687,1.704040096,-1.241594487,-1.244041717,-1.250556289,-0.769180285,-0.759344465,-0.751372044,-2.552970905,-2.313720763,-1.760873104,81,7.29,5535.36,592.4356,614.5441,0,0,1,0,0,0,0,0,0,0,0,0
1,-0.029910947,0.274864439,0.173668061,-1.827447863,-1.797329114,-0.224771464,-0.052654972,0.117347088,0.129149845,0.280446351,0.273201587,0.274226251,-1.199515359,-1.245600511,-1.808968115,24.01,0.01,6756.84,595.36,604.1764,0,0,1,0,0,0,0,0,0,0,0,0
1,0.554003561,1.298022378,0.311545417,-1.024994275,-0.980448798,-0.854222271,0.52309975,0.603643378,0.600895706,1.321137859,1.239060416,1.231644451,-0.470243071,-0.497625195,-1.033390766,10.89,6.76,6872.41,648.2116,668.7396,0,0,0,1,0,0,0,0,0,0,0,0
0,-0.832793397,0.274864439,0.981235431,0.504209733,0.225726044,-0.241888791,-0.988183984,-0.916323279,-0.900012454,0.282504443,0.277867572,0.278911508,1.34254965,1.024982954,0.344343632,50.41,0.01,7447.69,755.1504,770.0625,0,0,0,0,1,0,0,0,0,0,0,0
0,-0.79629874,1.420801331,0.153971296,0.337662762,0.021505965,-1.766108979,-0.818723787,-0.857653578,-0.832618268,1.434332888,1.433850127,1.413600909,0.415078506,0.158707709,0.148236707,49,8.41,6740.41,743.1076,752.4049,0,0,0,0,0,1,0,0,0,0,0,0
0,-0.321868202,-0.461809277,-0.673292839,1.238530469,0.697984977,0.567293953,-0.236463363,-0.465587285,-0.434609574,-0.425579408,-0.496458646,-0.477942227,0.263663863,-0.039219038,0.978766369,32.49,2.89,6068.41,809.4025,811.6801,0,1,0,0,0,0,0,0,0,0,0,0
1,-1.234234622,-0.134398736,0.449422772,-0.434509559,-0.865575003,0.387562016,-1.312533386,-1.190790208,-1.121788375,-0.138500751,-0.121528598,-0.108486813,0.106690424,-0.296556561,-0.704160935,67.24,0.81,6988.96,688.5376,678.0816,0,0,1,0,0,0,0,0,0,0,0,0
