,zonal_winds,meridional_winds,Humidity,air_temp,sea_surface_temp,Cluster_type,buoy,date,month
1,-7.8,-1.4,85.5,25.51,25.67,1,2,8/29/1991,8
2,-7.6,1.1,86.1,24.46,25.07,1,2,8/12/1992,8
3,-2.4,-1.7,77.2,28.04,28.86,0,2,4/27/1998,4
4,-9,-2.7,74.4,24.34,24.79,1,2,1/16/1997,1
5,-4.9,0.1,82.2,24.4,24.58,1,2,1/7/1997,1
6,-3.3,2.6,82.9,25.46,25.86,1,2,11/22/1993,11
7,-7.1,0.1,86.3,27.48,27.75,0,2,6/7/1991,6
8,-7,2.9,82.1,27.26,27.43,0,2,7/10/1991,7
9,-5.7,-1.7,77.9,28.45,28.49,0,2,4/9/1992,4
10,-8.2,-0.9,83.6,26.24,26.04,1,2,1/7/1991,1
11,-5.8,1,85.2,26.69,26.75,1,2,5/30/1990,5
12,-4.8,-0.5,82.4,25.95,26.46,1,2,5/1/1995,5
13,-4.8,0.1,84.9,25.38,25.84,1,2,6/16/1992,6
14,-1.3,-1.1,78.3,27.09,27.95,0,2,4/18/1998,4
15,-6.3,-1.3,80.9,25.24,25.5,1,2,2/9/1994,2
16,-6.8,-2,82.1,23.96,24.14,1,2,10/22/1995,10
17,-5.5,0.7,83.7,25.6,25.91,1,2,6/20/1995,6
18,-4.5,-0.2,85.3,27.3,27.77,0,2,5/24/1992,5
19,-1.9,-5.7,80.9,27.96,28.68,0,2,2/28/1998,2
20,-6.8,-1.1,82.1,26.26,26.61,1,2,7/27/1991,7
21,-6.7,-1.5,83.4,24.1,23.96,1,2,12/21/1996,12
22,-5.8,0.3,85.8,25.26,25.74,1,2,6/17/1992,6
23,-4.5,4.1,75.9,29.42,28.94,0,2,6/19/1997,6
24,-4.8,1.4,70.4,26.19,26.85,0,2,10/23/1994,10
25,-5.8,-0.5,79.5,26.57,26.79,1,2,5/9/1994,5
26,-6.3,0.4,72.9,26.24,26.76,1,2,10/20/1994,10
27,-3.7,1.7,86.8,24.89,25.21,1,2,7/23/1995,7
28,-4.6,0.1,83.1,27.7,27.94,0,2,5/25/1997,5
